n0,n1,n2
172,689,795
110,689,172
574,689,110
689,502,795
689,574,502
891,221,172
221,110,172
221,891,894
110,221,894
401,125,955
235,125,401
955,125,952
135,66,268
262,135,268
915,135,262
516,740,688
942,930,194
475,942,194
541,194,696
178,541,696
541,475,194
665,759,226
665,386,759
665,226,808
665,970,386
711,778,352
711,597,223
597,711,427
0,780,215
427,195,565
534,711,352
923,460,965
460,923,622
95,361,253
380,247,17
321,247,777
247,380,777
241,155,128
786,764,440
771,905,293
694,189,293
694,199,189
661,694,580
694,661,131
199,694,131
580,694,814
694,293,814
184,182,189
182,415,537
182,184,415
759,547,126
547,743,126
27,386,230
386,27,759
27,710,552
27,547,759
547,27,552
710,452,552
547,452,743
452,547,552
378,829,515
829,477,495
477,829,116
829,378,116
88,232,26
966,88,515
378,88,26
88,378,515
240,922,430
966,922,240
62,728,59
728,730,59
728,62,536
730,728,536
966,132,536
132,730,536
614,774,712
774,553,849
553,354,849
937,159,618
839,937,618
263,175,266
263,583,175
101,407,872
407,669,872
772,302,546
302,217,546
302,704,217
529,409,872
409,101,872
101,409,819
297,529,292
72,297,292
454,297,72
297,409,529
409,297,819
819,297,816
297,454,816
643,152,294
729,643,294
643,729,950
152,414,862
529,414,292
65,859,108
23,8,796
8,23,601
32,877,439
877,32,8
432,32,439
8,32,919
32,432,919
713,463,39
463,136,39
136,463,213
463,792,213
463,41,792
41,463,713
255,596,952
596,903,952
596,161,903
379,596,255
596,379,161
792,431,213
431,148,213
431,792,193
697,431,193
431,697,446
161,758,903
148,758,161
431,758,148
903,758,446
758,431,446
278,390,949
278,2,390
2,278,805
607,2,805
744,607,805
2,607,852
607,846,852
607,744,924
285,737,663
846,285,663
737,285,174
285,800,174
800,285,924
285,607,924
607,285,846
586,277,457
744,586,457
314,586,949
277,586,314
586,744,805
586,278,949
278,586,805
932,715,950
729,932,950
500,731,499
731,151,64
482,619,315
522,619,482
619,522,54
183,619,54
812,151,907
151,812,64
812,656,64
812,255,952
255,812,907
413,276,103
433,276,413
276,433,548
593,425,548
130,9,210
632,827,385
827,632,210
203,333,87
333,203,39
713,203,87
203,713,39
676,627,720
760,323,720
323,760,784
627,760,720
760,627,784
180,323,784
323,421,685
421,279,372
421,323,279
144,750,318
836,750,144
750,200,318
750,959,200
750,836,959
589,201,227
201,589,360
610,144,318
201,610,318
610,201,360
144,610,63
610,360,63
363,787,521
918,373,36
289,918,36
622,204,447
566,204,622
971,100,168
100,568,168
568,100,176
940,659,393
659,36,393
659,289,36
471,394,223
394,471,396
209,394,396
354,394,209
78,165,171
572,686,171
686,572,699
828,191,823
12,828,823
191,828,563
935,828,12
828,296,563
828,935,296
895,635,742
635,926,742
926,635,895
301,121,921
424,301,921
749,303,369
749,287,303
749,700,287
700,749,369
880,331,286
880,162,588
790,880,588
880,790,331
162,389,588
389,470,588
953,630,868
160,953,868
953,160,630
150,858,957
160,150,957
150,160,868
170,896,374
896,634,682
896,324,374
58,896,682
324,896,58
90,951,809
90,545,951
716,90,725
545,90,716
724,652,435
228,724,435
821,724,228
478,724,821
578,248,188
44,578,188
196,170,374
941,196,374
196,941,856
582,869,929
133,869,582
869,133,535
869,771,929
869,905,771
896,584,353
584,896,170
584,510,353
584,256,510
93,863,111
863,753,40
111,863,40
863,93,510
863,510,681
124,863,681
863,124,753
525,107,311
958,525,311
107,525,533
525,958,347
838,673,392
102,838,392
617,260,563
296,617,563
43,1,264
1,43,367
582,43,264
43,582,929
43,929,408
367,43,408
337,214,809
90,214,725
214,90,809
214,337,46
214,716,725
112,306,585
402,801,867
801,402,695
260,269,563
269,191,563
615,768,191
875,768,261
768,875,191
768,615,343
662,768,343
768,386,261
386,768,662
125,735,952
194,542,696
890,142,453
142,890,35
651,365,428
365,651,696
542,365,696
815,897,384
416,262,188
416,915,262
733,416,188
31,135,915
649,621,66
621,649,493
649,75,493
718,476,154
104,718,154
677,930,688
740,677,688
930,677,194
472,475,708
472,942,475
942,472,930
633,472,708
930,472,633
475,490,708
541,490,475
490,541,178
490,384,708
490,178,384
970,636,386
202,970,215
636,202,823
202,636,970
571,0,215
0,571,119
665,371,970
571,371,119
504,711,223
711,504,778
394,504,223
504,394,778
338,780,0
565,312,808
312,319,808
711,920,427
920,195,427
832,460,902
460,832,965
460,590,902
95,736,361
361,736,581
736,184,581
184,736,415
736,611,415
611,736,95
145,473,253
473,145,743
473,452,375
452,473,743
247,55,17
357,55,430
55,240,430
155,96,128
96,155,357
96,580,128
580,96,690
96,357,690
842,241,212
842,155,241
25,842,212
155,842,25
229,599,702
599,229,608
624,4,691
605,102,392
624,605,4
4,910,691
847,879,198
879,913,853
913,786,853
913,764,786
847,913,879
913,847,764
901,134,680
901,764,134
901,680,440
764,901,440
680,106,440
106,786,440
612,134,189
182,612,189
612,182,537
680,612,537
134,612,680
944,253,251
944,145,253
829,523,515
271,523,495
523,829,495
120,247,321
120,55,247
922,781,430
430,781,690
781,661,690
661,479,62
291,966,515
291,132,966
132,404,730
730,404,211
291,404,132
211,404,339
404,271,339
404,291,515
523,404,515
404,523,271
833,614,712
833,437,373
434,33,544
434,770,33
434,544,540
787,434,540
434,363,770
363,434,787
190,553,774
139,243,159
937,139,159
243,139,501
674,263,266
709,674,266
283,674,709
800,674,283
583,674,800
263,674,583
383,602,108
383,904,602
783,383,108
383,783,704
931,72,292
72,931,231
931,772,231
177,65,602
904,177,602
414,177,292
152,436,284
643,436,152
436,316,284
414,909,862
909,414,529
909,28,862
28,909,529
358,859,65
358,152,284
358,414,152
177,358,65
358,177,414
316,358,284
668,50,796
50,23,796
50,668,601
23,50,601
109,500,715
932,109,715
109,932,729
80,731,500
731,80,151
80,54,892
80,183,54
766,80,892
151,80,766
569,433,413
569,104,154
569,413,104
433,569,548
569,593,548
593,569,154
276,798,103
798,417,103
417,798,845
754,246,234
387,130,210
632,387,210
387,632,94
387,843,130
130,843,499
843,715,499
627,113,784
784,113,447
113,622,447
113,366,77
366,113,627
180,206,176
206,568,176
279,219,329
219,971,329
421,474,946
466,474,870
946,474,466
474,421,372
556,438,448
589,556,448
556,227,438
556,589,227
726,481,448
169,481,49
481,726,49
204,356,769
356,204,566
204,837,447
837,784,447
363,779,770
770,779,33
779,751,769
356,779,769
207,918,289
751,207,289
779,207,751
751,961,769
961,751,289
659,961,289
934,555,850
590,934,850
555,105,850
105,456,850
456,105,543
105,484,543
484,105,675
105,555,675
462,752,439
752,462,946
421,462,685
462,421,946
336,555,77
366,336,77
647,557,267
165,557,647
78,557,165
503,686,699
484,503,699
503,78,171
686,503,171
497,699,742
349,12,823
349,935,12
700,739,287
632,698,94
11,698,121
121,698,385
698,632,385
301,310,121
310,11,121
395,880,286
880,395,162
299,286,762
299,762,526
914,299,526
299,395,286
395,299,914
629,967,921
967,629,470
389,967,470
461,869,535
869,461,905
488,111,40
111,488,353
488,896,353
788,821,776
788,478,821
429,578,44
429,776,382
727,584,170
584,727,256
196,727,170
256,727,856
727,196,856
67,838,102
67,617,296
906,306,112
716,906,112
47,801,585
306,47,585
801,47,867
906,47,306
525,368,533
368,745,533
368,525,347
237,368,347
876,46,745
368,876,745
876,368,237
714,9,656
812,714,656
486,615,191
269,486,191
486,269,260
528,876,237
528,660,564
528,237,347
884,142,35
365,927,428
817,651,428
927,817,428
817,927,641
31,122,135
135,122,933
122,254,933
866,649,66
135,866,66
866,135,933
509,579,516
509,516,493
75,509,493
245,740,516
494,733,695
494,416,733
494,85,763
577,85,406
413,567,104
567,413,103
417,567,103
718,451,476
451,85,476
85,451,763
451,830,763
86,677,740
677,86,194
386,166,261
636,166,386
166,875,261
875,166,823
166,636,823
947,665,808
947,371,665
371,947,119
371,667,970
667,371,571
970,667,215
667,571,215
338,939,780
187,920,192
920,187,195
939,187,192
187,939,338
187,785,195
195,785,565
785,312,565
785,187,338
646,534,352
646,832,534
965,646,352
832,646,965
920,418,192
534,418,711
418,920,711
222,832,902
832,222,534
222,418,534
590,864,902
864,222,902
222,864,480
864,590,850
703,506,780
202,506,823
506,349,823
349,506,703
298,611,95
155,492,357
492,55,357
492,155,25
492,25,17
55,492,17
599,305,702
305,599,4
605,305,4
305,444,702
444,305,392
305,605,392
617,885,260
885,486,260
486,885,691
857,486,691
539,879,853
879,539,608
599,657,4
657,910,4
657,599,608
539,657,608
657,539,910
76,847,198
76,198,37
134,76,37
764,76,134
847,76,764
662,181,230
181,27,230
27,181,710
469,106,680
469,680,537
145,882,743
944,882,145
743,882,251
882,944,251
242,966,240
242,88,966
55,242,240
120,242,55
88,242,232
232,242,321
242,120,321
62,865,536
479,865,62
865,966,536
865,922,966
865,479,922
524,781,922
479,524,922
781,524,661
524,479,661
683,21,712
21,833,712
21,683,437
833,21,437
614,3,521
614,92,774
92,190,774
787,304,521
304,92,521
92,304,190
603,937,839
419,158,101
592,603,419
592,419,101
29,383,704
383,29,904
436,962,316
962,436,643
316,962,950
962,643,950
748,316,303
748,358,316
109,233,500
233,80,500
80,233,183
233,109,729
511,233,729
233,511,315
619,233,315
233,619,183
405,130,499
405,30,130
527,731,64
405,527,30
731,527,499
527,405,499
130,573,9
30,573,130
573,249,9
70,714,273
342,206,769
803,659,940
803,940,168
568,803,168
259,180,176
100,259,176
259,219,279
323,259,279
180,259,323
474,123,870
123,474,372
123,438,822
123,372,438
123,654,870
654,123,127
141,123,822
123,141,127
81,589,448
481,81,448
589,81,360
360,81,169
81,481,169
344,566,33
344,356,566
779,344,33
344,779,356
340,204,769
340,837,204
394,956,778
956,445,778
956,394,354
778,370,398
445,370,778
555,359,77
934,359,555
113,359,622
359,113,77
359,934,590
359,460,622
359,590,460
410,336,366
462,945,685
945,410,685
935,377,296
377,926,296
926,377,742
377,497,742
887,456,844
349,52,935
52,377,935
377,52,497
362,703,655
613,362,655
449,700,424
449,739,700
449,424,921
450,698,11
310,450,11
197,450,369
773,310,301
773,301,424
450,773,369
773,450,310
773,700,369
700,773,424
395,648,162
739,648,287
883,914,526
883,320,914
783,883,526
883,783,108
320,883,108
61,967,389
61,389,162
967,61,921
648,61,162
61,648,739
61,449,921
449,61,739
468,461,535
133,468,535
468,133,858
150,468,858
461,468,150
707,461,150
707,868,814
707,150,868
461,707,905
293,707,814
905,707,293
443,488,40
488,443,896
896,443,634
809,443,40
634,443,809
281,44,637
281,788,776
429,281,776
281,429,44
545,531,382
531,545,248
67,153,617
153,885,617
885,153,624
153,67,102
605,153,102
153,605,624
838,288,673
67,288,838
288,895,673
895,288,296
288,67,296
47,964,351
964,47,906
964,876,351
660,678,564
912,678,660
426,912,660
912,426,406
876,925,351
528,925,876
831,388,564
388,831,459
83,714,812
24,812,952
735,24,952
24,83,812
83,24,818
886,15,508
15,886,735
15,10,508
10,15,735
167,518,239
57,679,6
620,254,6
679,620,6
142,519,147
884,519,142
254,519,6
99,164,14
164,455,14
817,560,651
560,817,641
899,178,696
560,840,38
840,889,38
178,595,384
889,595,38
899,595,178
595,815,384
167,734,518
734,167,10
927,376,641
376,927,890
518,376,239
122,532,423
532,122,31
519,322,147
322,519,254
513,830,423
830,513,763
513,494,763
855,122,423
402,496,695
496,494,695
85,650,476
650,85,577
355,650,577
476,650,154
650,593,154
650,355,593
587,912,406
587,678,912
496,631,494
631,388,459
388,631,867
631,402,867
631,496,402
265,417,239
265,567,417
376,265,239
104,265,453
567,265,104
265,890,453
265,376,890
855,732,147
732,451,718
732,142,147
142,732,453
732,104,453
732,718,104
245,570,740
570,86,740
86,570,341
86,464,194
464,86,341
119,274,319
947,274,119
319,274,808
274,947,808
348,703,780
939,348,780
703,348,655
348,939,192
785,68,312
68,0,319
312,68,319
68,338,0
68,785,338
893,222,480
893,348,192
418,893,192
222,893,418
893,480,655
348,893,655
480,335,655
335,613,655
456,335,850
887,335,456
335,887,613
780,422,215
506,422,780
422,202,215
422,506,202
642,298,95
642,95,253
473,642,253
642,473,375
298,642,375
757,624,691
885,757,691
757,885,624
910,308,691
308,857,691
106,56,786
786,56,662
56,181,662
181,56,710
469,878,106
298,878,611
878,298,375
207,250,918
833,225,614
225,3,614
225,833,373
79,779,363
79,207,779
79,363,521
3,79,521
79,250,207
250,79,3
747,614,521
92,747,521
747,92,614
811,787,540
811,304,787
793,407,101
158,793,101
407,793,669
411,158,419
411,603,839
603,411,419
603,969,937
592,969,603
969,139,937
969,592,139
562,302,772
29,562,772
302,562,704
562,29,704
485,177,904
29,485,904
485,29,772
931,485,772
485,931,292
177,485,292
748,963,358
9,943,656
249,943,9
573,943,249
943,573,30
593,325,425
775,325,593
325,723,425
275,754,234
714,350,9
70,350,714
275,350,70
9,350,234
350,275,234
397,961,659
342,397,659
961,397,769
397,342,769
206,483,568
483,803,568
687,100,971
687,259,100
219,687,971
259,687,219
340,873,837
873,180,784
837,873,784
272,956,354
956,272,445
398,317,965
370,317,398
965,317,540
317,370,445
877,330,439
330,462,439
257,676,685
410,257,685
257,627,676
257,366,627
257,410,366
945,638,810
638,945,462
638,138,810
330,638,462
638,330,138
555,22,675
336,22,555
410,22,336
138,717,810
717,487,810
330,717,138
557,717,267
487,717,557
717,877,267
717,330,877
487,693,810
22,693,675
693,22,810
693,487,557
186,887,844
42,450,197
450,42,698
698,42,94
42,387,94
42,843,387
42,197,715
843,42,715
364,648,395
364,395,914
320,364,914
648,364,859
859,364,108
364,320,108
788,507,478
281,507,788
507,465,652
465,507,637
507,281,637
724,507,652
478,507,724
429,645,578
578,645,248
645,531,248
645,429,382
531,645,382
876,550,46
964,550,876
550,214,46
550,964,906
214,550,716
550,906,716
623,426,660
958,623,347
623,528,347
528,623,660
47,826,867
826,47,351
826,388,867
826,528,564
388,826,564
714,328,273
83,328,714
886,313,735
313,24,735
24,313,818
313,723,818
313,798,276
313,886,798
723,313,425
425,313,548
313,276,548
282,167,239
282,417,845
417,282,239
798,115,845
886,115,798
115,282,845
679,412,542
57,412,679
412,365,542
412,927,365
412,57,35
606,884,35
57,606,35
254,575,933
620,575,254
575,73,933
519,874,6
874,519,884
606,874,884
874,57,6
874,606,57
455,143,235
897,82,99
82,164,99
900,734,97
82,900,164
560,549,651
549,560,38
651,549,696
549,899,696
840,807,897
807,82,897
900,807,554
807,900,82
561,840,897
840,561,889
815,561,897
595,561,815
561,595,889
530,900,554
900,530,734
205,734,10
734,205,97
205,143,97
205,125,235
143,205,235
51,866,933
73,51,933
51,73,866
866,69,649
861,69,866
579,860,341
861,860,579
494,140,416
513,140,494
416,140,915
140,31,915
140,513,423
532,140,423
140,532,31
855,179,122
122,179,254
179,322,254
322,179,147
179,855,147
587,19,678
678,19,564
19,831,564
831,19,459
19,587,459
741,85,494
631,741,494
85,741,406
741,587,406
587,741,459
741,631,459
948,295,246
754,948,246
775,948,754
355,948,593
948,775,593
898,355,577
295,898,577
898,948,355
851,577,406
851,295,577
426,851,406
851,426,246
295,851,246
451,782,830
732,782,451
782,732,855
830,782,423
782,855,423
644,570,245
579,644,516
644,245,516
644,579,341
570,644,341
679,938,341
938,464,341
938,679,542
938,542,194
464,938,194
864,238,480
238,335,480
238,864,850
335,238,850
308,789,857
539,789,910
789,308,910
857,789,486
615,789,853
486,789,615
56,672,710
672,56,106
878,672,106
878,594,611
594,878,469
611,594,415
415,594,537
594,469,537
558,250,3
225,558,3
558,225,373
918,558,373
250,558,918
669,666,218
793,666,669
666,839,218
666,793,158
358,825,859
825,963,859
963,825,358
280,963,748
287,280,303
280,748,303
527,156,30
156,943,30
156,527,64
656,156,64
943,156,656
275,146,754
146,275,70
146,775,754
146,70,775
483,954,803
954,342,659
803,954,659
342,954,206
954,483,206
873,45,180
45,873,340
45,206,180
206,45,769
45,340,769
442,811,540
811,442,304
89,945,810
22,89,810
945,89,410
89,22,410
755,557,78
755,693,557
503,755,78
755,503,484
755,484,675
693,755,675
244,186,349
186,244,887
244,349,703
362,244,703
887,244,613
244,362,613
517,52,349
186,517,349
517,484,699
497,517,699
52,517,497
157,186,844
157,456,543
456,157,844
157,517,186
484,157,543
517,157,484
925,458,351
458,826,351
458,925,528
826,458,528
723,300,818
300,325,775
325,300,723
70,300,775
282,84,167
115,84,282
10,84,508
167,84,10
84,886,508
84,115,886
326,412,35
412,326,927
890,326,35
927,326,890
900,290,164
164,290,455
290,143,455
143,290,97
290,900,97
505,549,38
549,505,899
595,505,38
505,595,899
722,560,641
722,840,560
530,722,734
376,722,641
734,722,518
722,376,518
208,530,554
807,208,554
208,807,840
722,208,840
208,722,530
205,928,125
928,205,10
928,735,125
928,10,735
804,69,861
804,509,75
649,804,75
69,804,649
509,804,579
804,861,579
860,639,341
639,679,341
575,639,73
639,860,73
639,620,679
639,575,620
765,861,866
765,860,861
73,765,866
860,765,73
948,258,295
258,898,295
898,258,948
706,539,853
789,706,853
706,789,539
672,834,710
834,672,878
834,878,375
452,834,375
834,452,710
411,48,158
48,666,158
48,411,839
666,48,839
280,916,963
916,648,859
963,916,859
648,916,287
916,280,287
98,317,445
272,98,445
442,98,272
317,98,540
98,442,540
381,272,354
381,442,272
553,381,354
190,381,553
304,381,190
442,381,304
91,83,818
300,91,818
91,328,83
328,91,273
91,70,273
91,300,70
